sample	AHCY	AKR1C1	ALUsq	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3 	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2 	NM23A 	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1 	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF 	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC6A8	SLC25A5	SNAPC1	TNFRSF25	TYMS	UBC	ULK2	WSB1
SIOPEN-1495	24.85	26.95	8.85	22.94	23	20.96	29.08	27.25	25.98	26.06	25.9	31.87	45	27.71	21.06	32.66	23.27	22.86	32.11	27.78	23.61	24.46	27.73	32.8	24.73	22.21	26.47	24.47	24.18	23.96	22.29	23.17	22.89	28.06	37.24	19.64	23.25	28.82	21.76	21.08	25.22	22.43	36.02	31.66	23.47	31.2	23.73	23.71	27.25	27.34	30.87	31.21	27.54	28.2	22.06	26.47	28.73	23.02	27.32	25.02	21.24	24.73	27.8	22.83
SIOPEN-1832	25.49	25.62	11.32	23.56	21.91	21.88	29.9	23.42	26.54	29.03	26.74	34.04	45	27.03	21.61	26.25	23.14	26.48	30.87	28.69	23.65	24.58	29.87	31.3	25.46	22.66	26.16	25.25	29.9	22.88	23.87	25.18	22.84	28.27	34.7	19.33	23.07	29.33	22.44	23.61	26.84	24.49	27.13	31.96	23.08	23.85	25.02	24.24	24.82	23.61	29.9	31.62	26.68	29.78	23.42	29.43	29.11	23.91	28.23	28.67	24.32	22.55	27.73	25.94
SIOPEN-1496	24.93	29.98	10.28	25.33	22.73	24.09	30.42	24.93	26.69	32.74	26.25	30.56	25.59	31.6	22.49	34.67	24.46	27.3	33.7	30.89	24.54	26.2	30.07	31.01	25.07	23.18	26.18	26.91	34.86	25.57	23.43	24	23.89	24.3	36.48	19.44	25.18	45	15.44	21.9	26.85	24.83	33.92	37.04	26.47	32.61	26.87	23.63	29.62	27.09	33.49	33.73	29.94	31.85	25.51	29.6	28.28	23.12	28.54	26.75	23.97	27.76	30.01	23.84
SIOPEN-1834	26.08	29.49	13.33	25.75	27.71	26.16	31.71	26.92	32.07	28.09	31.24	31.54	28.9	29.65	23.27	36.03	25.86	32.02	33.17	37.51	27.43	29.46	37.29	35.1	26.7	23.69	28.64	26.3	30.13	29.73	29.24	26.96	27.47	28.17	28.24	21.64	24.61	32.94	22.9	26.48	27.07	26.62	33.25	33.06	27.2	31.85	29.98	26.03	27.98	22.98	35.03	35.87	28.07	28.97	23.62	33.62	30.5	25.46	31.41	32.2	27.16	23.98	32.3	28.2
SIOPEN-1497	25.48	25.99	10.73	22.95	22.85	21.19	27.77	22.71	25.78	27.32	25.2	31.52	36.44	28.18	20.96	29.1	23.11	23.7	27.15	27.01	22.55	24.93	28.24	32.51	23.26	21.06	26.03	24.51	23.84	24.27	23.46	23.08	21.67	27.24	28.27	19.54	20.85	28.03	21.56	21.6	24.56	20.13	29.17	28.21	22.45	34.81	25.08	23.08	27.63	24.49	31.5	28.13	25.62	27.95	21.8	27.26	28.04	22.56	27.2	28.01	23.61	22.9	27.86	23.71
SIOPEN-1835	25.98	26.24	11.95	20.66	26.47	21.27	29.11	25.47	32.11	27.88	32.88	32.87	45	28.71	21.69	27.18	24.18	24.23	25.71	27.65	24.23	24.58	25.27	32.87	26.04	23.53	26.76	25.15	26.26	23.58	26.42	25.69	21.73	29.28	32.48	20.47	22.85	28.58	23.11	26.02	25.28	21.26	28.82	28.97	24.19	28.59	26.05	23.77	25.92	24.09	31.5	30.86	26.51	28.44	20.72	30.04	30.72	24.58	28.31	28.85	28.75	22.52	28.12	26.68
SIOPEN-1498	24.1	31	10.07	23.93	23.61	23.17	29.99	31.82	27.44	32.21	26.55	35.27	26.8	27.1	23.77	31.53	24.97	23.28	31.55	28.61	24.43	26.45	28.72	33.15	24.55	23.26	26.82	25.94	26.15	25.25	24.96	23.85	24.23	26.24	30.5	19.6	24.25	34.43	21.9	20.85	25.92	24.25	30.68	33.08	27.42	28.01	25.55	24.63	30.54	27.42	33.33	32.56	27.14	28.25	23.23	28.43	29.07	22.43	26.54	32.32	22.69	27.79	29.45	24.41
SIOPEN-1836	26.23	27.09	10.55	23.31	23.33	21.19	30.24	23.96	27.12	28.01	29.59	33.91	31.75	31.07	20.94	28.34	23.89	23.61	29.11	27.54	23.25	24.68	29.45	33.51	26.02	21.84	25.9	25.14	25.83	23.69	24.46	25.44	21.76	29.51	45	21.15	23	31.09	23.76	23.77	24.7	21.55	29.97	28.32	23.34	29.65	25.53	23.08	26.87	24.43	31.83	33.45	27.72	29.56	21.89	26.06	29.65	24.49	31.05	26.07	24.74	23.66	27.18	23.24
SIOPEN-1499	23.22	29.87	8.66	22.95	23.87	23.62	29.93	30.55	26.88	32.78	25.97	34.93	28.04	29.53	22.68	38.71	24.14	24.02	29.94	30.48	24.13	26.18	27.83	31.73	24.46	23.63	29.68	27.03	24.92	28.18	23.42	22.93	24.94	22.88	23.16	21.06	30.08	33.43	21.91	19.8	25.76	24.41	32.93	30.68	27.55	28.94	25.42	23.53	28.32	26.63	33.04	33.66	27.84	32.67	25.05	27.15	28.17	22.57	24.75	25.87	23.54	25.98	29.87	24.66
SIOPEN-1837	25.43	26.71	12.12	26.3	23.48	23.49	35.61	26.22	29.21	29.08	29.81	35.85	45	30.02	24.95	31.6	25.73	25.92	28.88	30.71	25.72	26.54	32.57	33.77	26.18	22.71	27.6	29.14	29.89	25.01	25.5	25.63	25.04	28.17	45	21.01	24.89	32.1	24.99	23.83	28.55	23.74	26.44	30.44	26.7	27.22	25.09	24.78	27.75	28.41	33.58	32.68	29.61	30.27	25.1	30.16	31.3	24.32	30.52	33.29	26.51	23.91	31.76	26.79
SIOPEN-1500	24.62	30.89	9.34	23.65	21.07	21.65	28.93	23.86	24.03	29.42	23.71	32.28	34.98	27.93	22.27	27.64	22.87	26.46	30.93	28.29	23.89	24.96	28.03	31.78	23.45	22.81	26.21	25.3	27.01	24.06	21.7	23.34	21.96	27.63	34.61	18.7	23.05	31.52	20.83	21.01	25.32	24.08	33.16	36.54	26.61	23.92	24.1	24.43	29.59	23.31	30.41	29.64	28.77	28.2	23.69	27.45	28.7	22.1	25.43	25.65	22.05	23.95	29.08	24.02
SIOPEN-1839	26.65	27.31	11.66	23.77	28.66	22.53	30.17	25.1	30.71	27.18	30.2	35.04	45	30.12	22.55	29.11	24.82	30.96	29.18	31.24	24.42	25.55	31.5	33.55	26.66	22.72	26.68	26.11	26.15	26.06	26.69	24.78	22.62	31.07	45	21.49	23.49	31.24	25	24.46	26.85	21.46	31.57	31.31	24.49	36.05	26.76	23.73	27.1	25.01	33.23	31.87	28.56	28.87	21.27	30.41	31.5	25.3	29.8	28.67	28.59	23.25	29.9	23.59
SIOPEN-1501	24.75	29.73	11.28	23.5	22.22	22.62	28.62	27.87	26.23	28.14	27.23	34	25.81	26.22	23.29	28.5	24.47	26.08	29.11	28.35	24.75	25.09	31.26	32.97	24.8	24.3	27.24	25.93	28.89	23.88	22.85	23.62	23	30.15	29.8	19.63	24	34.13	21.99	22.27	25.57	22.96	32.77	38.27	26.77	24.86	25.52	25.62	28.46	24.86	30.76	28.15	27.26	30.17	24.56	26.56	27.81	23.83	26.6	25.55	22.78	24.29	29.63	24.05
SIOPEN-1840	25.55	27.04	11.3	23.91	22.59	22.14	31.05	25.18	27.12	27.48	28.74	34.97	24	28.76	21.63	28.83	23.82	29.9	27	31.65	24.98	23.81	27.67	32.96	25.61	23.46	27.53	26.04	28.82	24.72	24.46	24.81	22.24	29.1	45	20.66	22.88	30.11	24.81	24.65	25.64	24.21	30.03	30.01	24.28	29.5	26.61	23.78	27.54	25.92	31.78	31.62	27.64	30.03	22.85	27.28	29.96	23.85	30.44	27.89	25.31	23.54	28.88	26.73
SIOPEN-1503	25.81	26.7	11.09	21.53	23.2	21.93	29.87	27.47	27.83	27.92	26.09	33.21	25.23	27.97	21.87	29.21	23.93	25.89	27.98	27.79	25.17	25.62	30.02	33.13	25.03	23.61	26.65	25.45	25.97	23.63	24.78	25.06	22.26	30.01	35.96	20.64	24.46	32.31	22.46	23.21	23.23	23.18	31.23	33.63	26.31	24.89	24.73	23.21	27.93	26.16	31.14	31.45	26.56	31.28	22.96	28.06	29	23.99	27.28	24.93	23.97	25.79	28.17	23.05
SIOPEN-1841	25.87	27.71	11.64	25.62	26.02	21.04	32.65	25.44	30.41	28.85	32	33.86	25.61	29.19	22.1	28.55	24.7	26.86	29.41	28.57	25.62	25.65	29.42	32.19	26.55	24.05	27.61	25.2	26.48	23.75	25.51	25.78	22.68	29.64	45	21.32	22.67	31.87	24.75	25.01	26.65	20.86	30.47	35.43	24.78	30.6	27.03	23.46	26.97	24.29	32.68	31.99	23.83	28.5	21.62	31.26	31.9	25.42	29.57	28.14	26.54	24.63	28.96	24.95
SIOPEN-1507	25.03	28.25	11.69	24.11	22.76	22.76	28.85	24.78	26.86	25.75	26.66	31.73	29.49	27.91	22.82	27.47	24.62	25.11	27.01	29.33	25.1	25.03	27.65	30.88	24.92	22.6	27.09	26.09	27.34	23.98	23.34	24.51	23.72	30.11	28.24	20.88	23.72	29.79	22.87	23.87	25.62	23.1	28.15	30.78	24.42	25.48	25.83	24.52	27.09	23.73	30.75	32.61	27.42	31.12	23.07	28.72	28.79	23.96	28.02	27.03	24.11	23.85	27.87	24.43
SIOPEN-1842	25.04	26.47	11.47	22.69	22.3	21.74	32.57	24.08	27.05	30.52	30.2	35.45	36.74	28.08	21.65	28.61	22.93	23.58	28.92	30.55	24.45	24.45	30.52	31.77	25.66	22.02	27.53	25.92	27.96	23.88	24.43	24.77	21.84	30.64	45	20.63	23.48	29.96	23.28	24.55	26.24	22.13	29.9	35.85	23.45	34.56	25.53	23.86	26.69	21.8	31.63	31.49	27.31	29.14	22.01	28.65	30.2	23.79	29.04	29.72	22.92	25.48	28.08	25.6
SIOPEN-1508	25.78	27.76	10.05	23.66	22.6	22.55	28.47	25.25	26.29	27.73	25.96	29.33	28.44	28.45	22.26	28.49	24.85	23.78	27.79	29.78	25.47	24.65	28.91	31.58	24.69	22.87	25.96	25.69	27.54	25.17	24.17	24.41	23.21	28.55	30.23	21.62	24.17	30.45	22.69	23.53	25.92	23.01	27.48	28.65	23.79	26.65	24.09	24.43	27.52	23.71	31.67	32.14	29.05	28.8	21.98	27.55	29.74	22.79	26.47	26.94	23.14	22.86	27.77	23.74
SIOPEN-1844	25.64	27.02	10.94	23.19	23.51	22.17	27.12	25.6	27.22	31.79	28	32.29	26.77	27.07	21.89	27.82	24.61	25.21	29.35	29.3	23.95	25.02	29.7	33.82	26.03	21.89	27.55	24.85	25.19	23.76	24.67	25.18	22.84	27.79	42.1	22.24	23.03	29.45	22.56	24.09	24.61	22.98	25.73	29.78	23.57	31.93	25.52	24.17	26.86	23.41	30.09	30.98	26.86	29.45	22.67	27.31	27.89	23.67	28.47	28.58	24.46	23.24	28.51	25.22
SIOPEN-1510	25.92	26.68	10.17	22.58	24.67	20.99	28.8	24.97	27.69	24.99	28.27	30.81	30.42	27.1	20.46	27.05	22.97	22.73	26.65	27.07	23.51	23.82	26.8	32.76	24.94	22.87	26.7	24.76	24.15	23.72	23.96	23.74	21.42	29.66	36.42	20.44	21.93	27.74	22.71	22.95	23.79	20.84	25.97	27.63	22.86	36.72	24.68	22.65	26.79	23.18	30.45	30.01	25.94	27.06	19.82	26.14	28.22	23.23	26.75	24.67	23.87	23.13	27.24	22.89
SIOPEN-1846	28.8	31.92	13.1	27.64	28.59	26.17	36.9	30.25	32.48	27.59	29.99	31.49	45	33.52	26.16	30.64	28.72	29.9	30.92	43.08	26.75	28.87	35.97	35.96	29.54	26.55	32.85	29.75	30.86	25.65	30.02	26.57	23.94	37.96	45	25.15	25.72	37.17	27.04	27.62	29.53	26.66	33.13	29.52	27.98	34.22	30.54	27.59	34.8	26.89	45	31.51	28.49	34.17	25.55	32.72	35.19	27.74	27.96	25.49	28.63	24.94	32.73	26.12
SIOPEN-1511	25.03	25.78	10.13	23.02	23.29	20.97	28.89	24.61	26.73	26.17	27.58	32.11	27.29	27.85	21.01	27.46	23.8	23.68	25.88	27.84	24.46	23.79	27.27	31.89	24.32	23.17	24.69	24.85	25.49	23.5	23.97	23.46	21.65	28.61	26.11	19.98	23.09	29.49	21.99	22.61	23.97	21.65	26.61	26.97	22.8	25.22	23.83	23.26	27.16	25.16	30.81	29.88	26.29	28.12	20.97	26.5	28.46	21.85	26.67	26.06	24.29	22.84	28.11	23.59
SIOPEN-1848	25.47	26.51	11.44	24.91	23	22.3	30.43	24.84	27.2	33.93	27.11	31.19	45	27.48	21.18	30.22	23.11	24.47	29.5	29.65	23.52	25.42	29.23	32.01	24.53	21.12	26.21	24.43	26.2	24.53	24.8	24.83	22.77	29.5	45	20.05	21.92	28.73	23.51	24.13	26.98	21.99	26.31	33.17	23.97	25.98	25.64	24.45	26.15	25.27	30.09	28.52	27.1	29.28	22.87	28.14	30.52	23.9	30.6	27.66	24.24	22.89	28.31	25.93
SIOPEN-1883	25.57	25.52	10.87	21.72	24.78	22.9	27.25	23.04	28.88	24.51	28.68	32.95	36.22	28.8	21.26	27.09	22.61	23.08	28.07	26.56	24.08	24.08	28.03	33.24	25.62	21.08	25.19	24.3	25.93	24.6	24.07	24.76	21.18	28.93	36.62	20.44	20.89	28.27	24.03	22.89	25.43	20.6	28.8	25.87	22.18	32.71	24.61	21.94	27.76	23.92	31.84	29.9	28.87	27.9	20.45	26.89	31.05	24.41	29.23	25.21	26.86	23.14	27.7	23.51
SIOPEN-2160	27.5	26.94	11.11	22.56	24.78	22.51	30.01	26.57	27.93	27.52	28.29	33.57	32.97	28.75	21.42	27.98	23.94	23.8	28.19	28.97	23.84	25.68	29.81	34.26	26.48	22.62	27.26	26.64	25.49	23.69	26.74	26.07	23.48	29.42	34.11	22.82	22.17	28.88	23.26	24.01	25.74	22.48	28.56	30.2	24.87	35.05	27.32	23.62	27.68	24.33	32.23	26.51	27.3	28.86	23.51	28.73	29.6	25.78	27.74	25.65	25.88	22.63	29.04	24.85
SIOPEN-1884	23.97	24.79	10.67	21.06	25.67	21.6	28.86	22.53	29.02	26.68	29.14	27.15	33.57	26.04	19.88	33.95	23.78	21.09	29.03	27.53	23	22.95	28.5	30.64	23.63	20.82	24.29	23.74	25.85	24.46	24.06	24.51	21.79	27.87	30.83	19.59	21.3	29.97	21.23	23.11	26.2	20.17	32.47	26.6	21.84	23.64	23.83	22.52	25.7	21.44	31.52	29.95	24.27	25.18	18.49	25.24	29.27	24.05	25.76	27.46	26.09	22.25	28.42	22.62
SIOPEN-2161	27.23	28.57	10.74	24.25	25.92	22.03	30.79	25.11	29.74	28.47	29.56	33.52	31.7	29.6	21.57	27.63	23.52	25.2	28.31	30.93	24.53	25.68	31.78	37.11	26.09	22.72	26.47	26.88	24.9	24.18	25.77	26.02	22.99	30.14	35.31	21.44	22.95	32.81	24	24.13	25.03	21.79	25.67	33.66	24.53	33.26	26.43	23.57	27.87	23.03	31.66	31.84	26.73	29.43	22.87	29.58	30.42	25.56	31.3	27.12	27.33	24.77	29.51	24.84
SIOPEN-1885	26.52	27.5	10.49	22.88	23.96	22.59	30.43	23.84	27.06	27.68	28.14	32.6	30.88	27.43	21.54	27.23	23.63	23.64	28.52	30.04	24.5	24.58	30.08	32.71	25.67	22.26	27.01	24.1	24.2	24.9	25.52	24.03	21.69	27.61	23.87	20.3	23.01	29.2	23.22	23.06	24.59	22.73	30.99	29.12	23.98	24.63	25.12	22.1	28.43	23.34	32.06	31.66	28.12	30.07	21.16	28.64	31.07	24	29.94	26.62	24.16	24.57	28.77	22.99
SIOPEN-2162	27.92	29.04	10.49	24.7	24.85	24.18	30.06	26.52	29.63	24.91	29.24	33.99	28.68	30.28	22.8	28.54	25.5	24.89	27.49	32.57	24.94	25.44	30.68	35.32	26.7	23.58	27.23	26.67	25.8	24.1	26.7	26.93	24.74	29.85	32.62	22.31	25.41	31.24	23.41	24.13	24.71	24.49	30.52	28.84	25.79	29.82	26.21	23.53	28.91	25.26	32.31	32.31	28.89	24.2	22.17	29.88	31.62	25.82	29.85	24.9	27.53	26.18	28.81	24.27
SIOPEN-1886	26	26.85	10.16	23.56	23.78	23.44	30.12	24.12	28.19	27	28.09	34.09	33.81	30.08	21.68	26.03	22.76	25.7	27.91	31.53	26	26.1	28.98	35.77	26.86	22.82	27.83	26.7	27.3	22.98	24.43	24.6	22.19	31.5	34.58	20.68	23.7	26.98	23.91	22.87	25.49	22.67	25.54	31.58	24.75	34.7	25.34	22.66	28.12	24.65	29.74	32.07	27.88	30.21	21.02	29.85	32.69	24.55	32.59	24.95	24.57	23.09	28.87	22.49
SIOPEN-2163	27.33	26.48	11.59	23.04	24.69	23.82	29.26	27.12	28.31	27.83	29.24	33.74	30.53	28.73	22.02	28.95	24.07	25.86	28.01	28.43	24.48	25.14	29.2	33.52	26.97	23.81	26.65	26.17	25.83	23.81	26.89	26.67	24.75	29.2	37.11	22.76	24.06	31.11	22.91	24.83	25.84	22.76	26.17	32.49	25.6	26.21	27.21	24.88	27.22	24.91	30.6	30.46	26.81	28.2	22.83	29.28	30.63	25.7	29.78	26.65	26.94	23.88	28.24	24.04
SIOPEN-1887	27.26	26.94	10.65	19.41	26.63	22.67	29.67	26.28	28.89	23.89	29.27	32.21	28.44	29.48	22.58	29.08	24.5	23.41	29.86	32.05	23.43	24.32	28.89	32.81	25.71	22.96	27.51	25.65	26.9	24.26	27.49	26.18	23.2	34.64	22.56	22.57	22.43	31.87	23.78	23	24.11	22.64	26.69	28.53	23.22	27.04	25.03	24.56	28.61	22.69	31.55	30.24	27.45	29.86	21.74	29.61	31	25.31	27.27	28.15	25.29	23.86	28.62	24.17
SIOPEN-2164	25.73	25.75	9.65	23.08	28.04	23.13	27.21	28.17	28.82	25.77	31.65	27.57	35.1	29.56	22.02	26.9	25.05	24.18	34.09	31.7	25.04	24.74	27.71	34.27	24.51	24.99	27.61	25.52	27.52	23.29	24.92	24.7	22.28	31.29	24.49	19.71	23.22	28.14	23.9	21.76	24.84	23.52	33.2	31.53	25.77	26.63	25.87	23.96	27.59	24.81	32.81	30.86	24.89	28.88	19.06	27.63	29.05	23.93	25.04	26.74	28.8	24.24	27.49	25.89
SIOPEN-1888	25.69	25.77	10.8	22.62	24.95	22.01	29.7	22.71	29.47	28.2	28.27	33.26	35.3	27.75	20.48	26.51	23.25	23.13	28.2	27.16	22.43	24.22	26.78	32.97	25.16	20.78	25.08	24.95	26.52	23.93	25.79	25.33	21.02	28.33	35.6	20.13	21.98	27.51	24.02	23.62	24.62	20.11	26.77	25.86	22.97	24.05	24.54	22.8	26.6	25.67	30.8	32.17	27.72	28.9	19.8	28.17	31.45	24.22	31.19	26.67	26.85	22.15	27.91	25.1
SIOPEN-2165	27.25	27.76	11.15	23.23	25.31	23.24	30.47	27.05	29.21	28.81	29.87	35.63	30.67	28.3	21.76	27.51	24.73	24.93	28.46	29.09	23.84	26.09	29.55	35.51	26.69	22.93	27.43	26.71	24.49	25.11	26.26	25.98	24.02	30.24	34.85	23.14	23.55	29.62	25.26	24.14	25.04	21.72	28.89	29.61	24.77	35.68	27.23	24.06	27.75	24.24	31.83	32.58	27.53	29.54	22.56	29.7	30	25.82	28.57	26.52	27.04	24.85	28.68	24.09
SIOPEN-1889	26.31	27.31	10.93	19.23	23.82	21.12	28.94	24.46	24.43	26.59	26.97	29.84	31.6	28.31	21.43	28.31	22.67	22.92	28.11	26.12	23.23	24.24	29.66	30.42	25.72	22.43	28.03	25.88	26.11	22.48	23.57	24.08	21.99	30.7	28.88	21.11	21.56	31.94	21.87	23.08	24.59	21.83	27.77	28.89	22.81	27.16	25.88	24.12	27.5	21.42	30.75	28.25	25.66	25.86	20.51	29.18	30.01	25.09	28.72	26.2	24.72	23.92	28.53	23.69
